full_text,text_clean,tokenize,stopwords,stemmed
@gibran_tweet  @prabowogibran02  Belimbing sayur masak nya pake karbit !,gibrantweet  prabowogibran  belimbing sayur masak nya pake karbit,"['gibrantweet', 'prabowogibran', 'belimbing', 'sayur', 'masak', 'nya', 'pake', 'karbit']","['gibrantweet', 'prabowogibran', 'belimbing', 'sayur', 'masak', 'nya', 'pake', 'karbit']","['gibrantweet', 'prabowogibran', 'belimbing', 'sayur', 'masak', 'nya', 'pake', 'karbit']"
@Artemisdelily @700juta @gibran_tweet Gpp nnt bisa pindah ke thailand  kok disana banyak yg sefrekuensi sm km.. disana juga sistemnya dinasti kan(?!),artemisdelily juta gibrantweet gpp nnt bisa pindah ke thailand  kok disana banyak yg sefrekuensi sm km disana juga sistemnya dinasti kan,"['artemisdelily', 'juta', 'gibrantweet', 'gpp', 'nnt', 'bisa', 'pindah', 'ke', 'thailand', 'kok', 'disana', 'banyak', 'yg', 'sefrekuensi', 'sm', 'km', 'disana', 'juga', 'sistemnya', 'dinasti', 'kan']","['artemisdelily', 'juta', 'gibrantweet', 'gpp', 'nnt', 'pindah', 'thailand', 'kok', 'disana', 'banyak', 'yg', 'sefrekuensi', 'sm', 'km', 'disana', 'sistemnya', 'dinasti', 'kan']","['artemisdelily', 'juta', 'gibrantweet', 'gpp', 'nnt', 'pindah', 'thailand', 'kok', 'sana', 'banyak', 'yg', 'frekuensi', 'sm', 'km', 'sana', 'sistem', 'dinasti', 'kan']"
@GiloMoh @cobeh2022 @MuhiqR @gibran_tweet @bengkeldodo Makanya kalo ngomong sering pertanyaan gak nyambung dengan jawaban,gilomoh cobeh muhiqr gibrantweet bengkeldodo makanya kalo ngomong sering pertanyaan gak nyambung dengan jawaban,"['gilomoh', 'cobeh', 'muhiqr', 'gibrantweet', 'bengkeldodo', 'makanya', 'kalo', 'ngomong', 'sering', 'pertanyaan', 'gak', 'nyambung', 'dengan', 'jawaban']","['gilomoh', 'cobeh', 'muhiqr', 'gibrantweet', 'bengkeldodo', 'makanya', 'kalo', 'ngomong', 'sering', 'pertanyaan', 'gak', 'nyambung', 'jawaban']","['gilomoh', 'cobeh', 'muhiqr', 'gibrantweet', 'bengkeldodo', 'makanya', 'kalo', 'ngomong', 'sering', 'tanya', 'gak', 'nyambung', 'jawab']"
@Gr4sssss @bentangnegeri @gibran Sekandang monyet bahagia wkwkakak https://t.co/2JEsCGP9Yz,grsssss bentangnegeri gibran sekandang monyet bahagia wkwkakak httpstcojescgpyz,"['grsssss', 'bentangnegeri', 'gibran', 'sekandang', 'monyet', 'bahagia', 'wkwkakak', 'httpstcojescgpyz']","['grsssss', 'bentangnegeri', 'gibran', 'sekandang', 'monyet', 'bahagia', 'wkwkakak', 'httpstcojescgpyz']","['grsssss', 'bentangnegeri', 'gibran', 'kandang', 'monyet', 'bahagia', 'wkwkakak', 'httpstcojescgpyz']"
@PartaiSocmed ini @gibran_tweet tegas ke paspampres waktu mau minta maaf karna kesalahanya tapi makek masker makanya dibuka maskernya itu jadi ini hoax yoh mas ayo lah ojo nemen nemen bodone tta,partaisocmed ini gibrantweet tegas ke paspampres waktu mau minta maaf karna kesalahanya tapi makek masker makanya dibuka maskernya itu jadi ini hoax yoh mas ayo lah ojo nemen nemen bodone tta,"['partaisocmed', 'ini', 'gibrantweet', 'tegas', 'ke', 'paspampres', 'waktu', 'mau', 'minta', 'maaf', 'karna', 'kesalahanya', 'tapi', 'makek', 'masker', 'makanya', 'dibuka', 'maskernya', 'itu', 'jadi', 'ini', 'hoax', 'yoh', 'mas', 'ayo', 'lah', 'ojo', 'nemen', 'nemen', 'bodone', 'tta']","['partaisocmed', 'gibrantweet', 'tegas', 'paspampres', 'waktu', 'mau', 'minta', 'maaf', 'karna', 'kesalahanya', 'makek', 'masker', 'makanya', 'dibuka', 'maskernya', 'jadi', 'hoax', 'yoh', 'mas', 'ayo', 'lah', 'ojo', 'nemen', 'nemen', 'bodone', 'tta']","['partaisocmed', 'gibrantweet', 'tegas', 'paspampres', 'waktu', 'mau', 'minta', 'maaf', 'karna', 'kesalahanya', 'makek', 'masker', 'makanya', 'buka', 'masker', 'jadi', 'hoax', 'yoh', 'mas', 'ayo', 'lah', 'ojo', 'nemen', 'nemen', 'bodone', 'tta']"
Kompak Banget! Buruh Jepara Puji Prabowo - Gibran! dekade08,kompak banget buruh jepara puji prabowo  gibran dekade,"['kompak', 'banget', 'buruh', 'jepara', 'puji', 'prabowo', 'gibran', 'dekade']","['kompak', 'banget', 'buruh', 'jepara', 'puji', 'prabowo', 'gibran', 'dekade']","['kompak', 'banget', 'buruh', 'jepara', 'puji', 'prabowo', 'gibran', 'dekade']"
"Jilat terus Dul si blimbing sayur, biar cair lebih gede.  Samsul @gibran_tweet",jilat terus dul si blimbing sayur biar cair lebih gede  samsul gibrantweet,"['jilat', 'terus', 'dul', 'si', 'blimbing', 'sayur', 'biar', 'cair', 'lebih', 'gede', 'samsul', 'gibrantweet']","['jilat', 'terus', 'dul', 'si', 'blimbing', 'sayur', 'biar', 'cair', 'lebih', 'gede', 'samsul', 'gibrantweet']","['jilat', 'terus', 'dul', 'si', 'blimbing', 'sayur', 'biar', 'cair', 'lebih', 'gede', 'samsul', 'gibrantweet']"
"@DokterTifa @KRMTRoySuryo1 Dibilangin Sebenarnya Gibran Samsul itu android bukan manusia Bu dokter,itu alat pengacak otak jadi bisa membuat orang yang liat otaknya gesrek menggila efek sampingnya bisa tanpa henti memaki orang yang lebih bahaya hatinya lama2 bisa membusuk efek lanjutannya.",doktertifa krmtroysuryo dibilangin sebenarnya gibran samsul itu android bukan manusia bu dokteritu alat pengacak otak jadi bisa membuat orang yang liat otaknya gesrek menggila efek sampingnya bisa tanpa henti memaki orang yang lebih bahaya hatinya lama bisa membusuk efek lanjutannya,"['doktertifa', 'krmtroysuryo', 'dibilangin', 'sebenarnya', 'gibran', 'samsul', 'itu', 'android', 'bukan', 'manusia', 'bu', 'dokteritu', 'alat', 'pengacak', 'otak', 'jadi', 'bisa', 'membuat', 'orang', 'yang', 'liat', 'otaknya', 'gesrek', 'menggila', 'efek', 'sampingnya', 'bisa', 'tanpa', 'henti', 'memaki', 'orang', 'yang', 'lebih', 'bahaya', 'hatinya', 'lama', 'bisa', 'membusuk', 'efek', 'lanjutannya']","['doktertifa', 'krmtroysuryo', 'dibilangin', 'sebenarnya', 'gibran', 'samsul', 'android', 'bukan', 'manusia', 'bu', 'dokteritu', 'alat', 'pengacak', 'otak', 'jadi', 'membuat', 'orang', 'liat', 'otaknya', 'gesrek', 'menggila', 'efek', 'sampingnya', 'henti', 'memaki', 'orang', 'lebih', 'bahaya', 'hatinya', 'lama', 'membusuk', 'efek', 'lanjutannya']","['doktertifa', 'krmtroysuryo', 'dibilangin', 'benar', 'gibran', 'samsul', 'android', 'bukan', 'manusia', 'bu', 'dokteritu', 'alat', 'acak', 'otak', 'jadi', 'buat', 'orang', 'liat', 'otak', 'gesrek', 'gila', 'efek', 'samping', 'henti', 'maki', 'orang', 'lebih', 'bahaya', 'hati', 'lama', 'busuk', 'efek', 'lanjut']"
@zy_zy_its_me @jokowi @prabowo @gibran_tweet Ijin bertamu 🙏 https://t.co/tr7YkM9wwA,zyzyitsme jokowi prabowo gibrantweet ijin bertamu 🙏 httpstcotrykmwwa,"['zyzyitsme', 'jokowi', 'prabowo', 'gibrantweet', 'ijin', 'bertamu', '🙏', 'httpstcotrykmwwa']","['zyzyitsme', 'jokowi', 'prabowo', 'gibrantweet', 'ijin', 'bertamu', '🙏', 'httpstcotrykmwwa']","['zyzyitsme', 'jokowi', 'prabowo', 'gibrantweet', 'ijin', 'tamu', '', 'httpstcotrykmwwa']"
"Soal SGIE, Mas Gibran yang paling tahu. Tapi kata Cak Imin, SGIE itu singkatan dari “Sego Goreng Iwak Endog”. Wis bah kono  yang penting Pak Prabowo ngowah ngowoh.  #puisidigital #penyairdigital #perajinkata #agoytama #DebatCawapres #SGIE https://t.co/GOCyDhF42Z",soal sgie mas gibran yang paling tahu tapi kata cak imin sgie itu singkatan dari “sego goreng iwak endog” wis bah kono  yang penting pak prabowo ngowah ngowoh  puisidigital penyairdigital perajinkata agoytama debatcawapres sgie httpstcogocydhfz,"['soal', 'sgie', 'mas', 'gibran', 'yang', 'paling', 'tahu', 'tapi', 'kata', 'cak', 'imin', 'sgie', 'itu', 'singkatan', 'dari', '“', 'sego', 'goreng', 'iwak', 'endog', '”', 'wis', 'bah', 'kono', 'yang', 'penting', 'pak', 'prabowo', 'ngowah', 'ngowoh', 'puisidigital', 'penyairdigital', 'perajinkata', 'agoytama', 'debatcawapres', 'sgie', 'httpstcogocydhfz']","['soal', 'sgie', 'mas', 'gibran', 'paling', 'tahu', 'kata', 'cak', 'imin', 'sgie', 'singkatan', '“', 'sego', 'goreng', 'iwak', 'endog', '”', 'wis', 'bah', 'kono', 'penting', 'pak', 'prabowo', 'ngowah', 'ngowoh', 'puisidigital', 'penyairdigital', 'perajinkata', 'agoytama', 'debatcawapres', 'sgie', 'httpstcogocydhfz']","['soal', 'sgie', 'mas', 'gibran', 'paling', 'tahu', 'kata', 'cak', 'imin', 'sgie', 'singkat', '', 'sego', 'goreng', 'iwak', 'endog', '', 'wis', 'bah', 'kono', 'penting', 'pak', 'prabowo', 'ngowah', 'ngowoh', 'puisidigital', 'penyairdigital', 'perajinkata', 'agoytama', 'debatcawapres', 'sgie', 'httpstcogocydhfz']"
